studentID,className
1733372,CMYHE400
1734371,CMYHE400
1746643,CMYHE400
1651234,CMYHE400
1679217,CMYHE400
1749160,CMYHE400
1687933,CMYHE400
1716007,CMYHE400
1688125,CMYHE400
1749925,CMYHE400
1745192,CMYHE400
1705133,CMYHE400
1744866,CMYHE400
1720137,CMYHE400
1656187,CMYHE400
1654817,CMYHE400
1690260,CMYHE400
1664088,CMYHE400
1662904,CMYHE400
1667480,CMYHE400
1699753,CMYHE400
1700638,CMYHE400
1703799,CMYHE400
1727454,CMYHE400
1697563,CMYHE400
1721749,CMYHE400
1692258,THMGT903
1712508,THMGT903
1721804,THMGT903
1708248,THMGT903
1711118,THMGT903
1706516,THMGT903
1692771,THMGT903
1743929,THMGT903
1698293,THMGT903
1654755,THMGT903
1713617,THMGT903
1661355,THMGT903
1677739,THMGT903
1713389,THMGT903
1693387,THMGT903
1689437,THMGT903
1724121,THMGT903
1691067,THMGT903
1738159,THMGT903
1665378,THMGT903
1654060,THMGT903
1725299,THMGT903
1659004,THMGT903
1696933,THMGT903
1667966,THMGT903
1697636,SCIEN206
1699775,SCIEN206
1711730,SCIEN206
1717102,SCIEN206
1709446,SCIEN206
1733139,SCIEN206
1683675,SCIEN206
1686052,SCIEN206
1683448,SCIEN206
1663408,SCIEN206
1699857,SCIEN206
1672624,SCIEN206
1746302,SCIEN206
1658053,SCIEN206
1722469,SCIEN206
1729131,SCIEN206
1708540,SCIEN206
1741496,SCIEN206
1743363,SCIEN206
1730806,SCIEN206
1722793,SCIEN206
1659811,SCIEN206
1730255,SCIEN206
1653331,SCIEN206
1746423,SCIEN206
1698178,THMGT531
1677531,THMGT531
1665876,THMGT531
1687310,THMGT531
1721878,THMGT531
1746640,THMGT531
1714022,THMGT531
1654575,THMGT531
1723579,THMGT531
1713596,THMGT531
1707723,THMGT531
1651248,THMGT531
1655016,THMGT531
1732109,THMGT531
1674032,THMGT531
1663800,THMGT531
1704723,THMGT531
1699826,THMGT531
1697644,THMGT531
1671830,THMGT531
1678570,THMGT531
1699753,THMGT531
1705579,THMGT531
1743076,THMGT531
1691352,THMGT531
1659902,THMGT531
1711272,THMGT531
1656771,AGBUS400
1672039,AGBUS400
1692878,AGBUS400
1685739,AGBUS400
1672065,AGBUS400
1722104,AGBUS400
1705579,AGBUS400
1733552,AGBUS400
1702732,AGBUS400
1730851,AGBUS400
1727158,AGBUS400
1710129,AGBUS400
1692874,AGBUS400
1686826,AGBUS400
1742926,AGBUS400
1663977,AGBUS400
1726514,AGBUS400
1656871,AGBUS400
1655757,AGBUS400
1708131,AGBUS400
1656220,AGBUS400
1688642,AGBUS400
1683086,AGBUS400
1711936,AGBUS400
1675875,AGBUS400
1651492,THEDR507
1666679,THEDR507
1695411,THEDR507
1718672,THEDR507
1663294,THEDR507
1717831,THEDR507
1670586,THEDR507
1669495,THEDR507
1740270,THEDR507
1737447,THEDR507
1718865,THEDR507
1712020,THEDR507
1650561,ENTIN726
1716659,ENTIN726
1697117,ENTIN726
1707402,ENTIN726
1662010,ENTIN726
1666543,ENTIN726
1731694,ENTIN726
1662850,ENTIN726
1700479,ENTIN726
1709203,ENTIN726
1705872,ENTIN726
1730444,ENTIN726
1713772,ENTIN726
1653353,ENTIN726
1670850,SDCOA958
1746423,SDCOA958
1712879,SDCOA958
1688439,SDCOA958
1691660,SDCOA958
1697210,SDCOA958
1716681,SDCOA958
1712528,SDCOA958
1685246,SDCOA958
1747201,SDCOA958
1690365,SDCOA958
1676273,SDCOA958
1747738,SDCOA958
1705899,SDCOA958
1664494,SDCOA958
1654878,SDCOA958
1710452,SDCOA958
1705978,POLSC402
1656609,POLSC402
1698879,POLSC402
1740053,POLSC402
1692263,POLSC402
1670855,POLSC402
1654753,POLSC402
1747127,POLSC402
1720958,POLSC402
1732176,POLSC402
1669665,POLSC402
1664692,POLSC402
1700566,POLSC402
1746056,POLSC402
1678730,POLSC402
1726037,MATHS531
1662297,MATHS531
1673259,MATHS531
1739155,MATHS531
1683639,MATHS531
1737486,MATHS531
1651117,MATHS531
1736678,MATHS531
1748753,MATHS531
1686297,MATHS531
1665958,MATHS531
1745110,MATHS531
1735395,MATHS531
1699289,MATHS531
1733552,MATHS531
1712707,MATHS531
1748132,MATHS531
1690035,MATHS531
1743971,MATHS531
1688858,MATHS531
1675344,MATHS531
1695094,MATHS531
1716372,MATHS531
1733558,MATHS531
1713419,MATHS531
1690555,EDART618
1656680,EDART618
1659643,EDART618
1717303,EDART618
1653272,EDART618
1734086,EDART618
1682361,EDART618
1740779,EDART618
1707539,EDART618
1681196,EDART618
1666668,EDART618
1711861,EDART618
1691189,CRIMN618
1743630,CRIMN618
1731475,CRIMN618
1705748,CRIMN618
1724539,CRIMN618
1716919,CRIMN618
1702041,CRIMN618
1669678,CRIMN618
1672533,CRIMN618
1712528,CRIMN618
1705133,CRIMN618
1681617,CRIMN618
1727706,CRIMN618
1706611,CRIMN618
1650636,CRIMN618
1721688,CRIMN618
1741684,CRIMN618
1741654,COMPX402
1705614,COMPX402
1700253,COMPX402
1656618,COMPX402
1674138,COMPX402
1725228,COMPX402
1739927,COMPX402
1727726,COMPX402
1720597,COMPX402
1671984,COMPX402
1741906,COMPX402
1671912,COMPX402
1713245,COMPX402
1668815,COMPX402
1706671,COMPX402
1732415,COMPX402
1726659,COMPX402
1652758,COMPX402
1712897,COMPX402
1686306,COMPX402
1697175,COMPX402
1692997,COMPX402
1702168,COMPX402
1702362,COMPX402
1722657,COMPX402
1727346,COMPX402
1724931,COMPX402
1665944,COMPX402
1678017,COMPX402
1726829,COMPX402
1676947,EDLED507
1710330,EDLED507
1703668,EDLED507
1710287,EDLED507
1670957,EDLED507
1722823,EDLED507
1716911,EDLED507
1743094,EDLED507
